Energia del ion kev,Perdidas de energia kev/microm
10,7.23E+01
11,7.61E+01
12,7.98E+01
13,8.33E+01
14,8.67E+01
15,9.00E+01
16,9.32E+01
17,9.63E+01
18,9.94E+01
20,1.05E+02
22.5,1.12E+02
25,1.19E+02
27.5,1.25E+02
30,1.31E+02
32.5,1.37E+02
35,1.42E+02
37.5,1.48E+02
40,1.53E+02
45,1.63E+02
50,1.73E+02
55,1.82E+02
60,1.90E+02
65,1.98E+02
70,2.06E+02
80,2.21E+02
90,2.35E+02
100,2.48E+02
110,2.61E+02
120,2.72E+02
130,2.83E+02
140,2.93E+02
150,3.03E+02
160,3.12E+02
170,3.20E+02
180,3.28E+02
200,3.43E+02
225,3.59E+02
250,3.73E+02
275,3.86E+02
300,3.96E+02
325,4.06E+02
350,4.14E+02
375,4.21E+02
400,4.28E+02
450,4.39E+02
500,4.48E+02
550,4.56E+02
600,4.62E+02
650,4.68E+02
700,4.72E+02
800,4.78E+02
900,4.82E+02
1000,4.83E+02
1100,4.83E+02
1200,4.81E+02
1300,4.79E+02
1400,4.76E+02
1500,4.72E+02
1600,4.67E+02
1700,4.62E+02
1800,4.57E+02
2000,4.46E+02
2250,4.32E+02
2500,4.18E+02
2750,4.04E+02
3000,3.91E+02
3250,3.78E+02
3500,3.66E+02
3750,3.54E+02
4000,3.43E+02
4500,3.23E+02
5000,3.05E+02
5500,2.88E+02
6000,2.73E+02
6500,2.60E+02
7000,2.48E+02
8000,2.27E+02
9000,2.12E+02
10000,1.98E+02
